genes	NGenes	PropDown	PropUp	Direction	PValue	FDR	PValue.Mixed	FDR.Mixed
ULK2	4	0.5	0	Down	0.003	0.51425	0.2501	0.405520833
EPHB3	4	0.25	0	Down	0.0055	0.51425	0.315	0.422964474
CDK7	6	0.166666667	0.5	Up	0.0061	0.51425	0.0399	0.405520833
KCNH1	4	0	0.5	Up	0.013	0.560884091	0.1691	0.405520833
CHEK2	6	0	0.5	Up	0.0157	0.560884091	0.014	0.323386364
DDR2	5	0	0.2	Up	0.0176	0.560884091	0.3054	0.420887838
SGK196	4	0.25	0.5	Up	0.0236	0.560884091	0.3347	0.42984799
NTRK2	5	0.4	0	Down	0.0296	0.560884091	0.2863	0.405520833
AURKB	5	0.4	0.2	Down	0.0315	0.560884091	0.0012	0.09775
NEK1	6	0	0.166666667	Up	0.0316	0.560884091	0.4733	0.503890625
ACVRL1	4	0.25	0	Down	0.0324	0.560884091	0.3327	0.42984799
TRPM6	8	0.375	0.125	Down	0.0382	0.560884091	0.101	0.405520833
CHUK	4	0.5	0.5	Up	0.0402	0.560884091	0.1702	0.405520833
RFK	4	0	0.25	Up	0.0414	0.560884091	0.2717	0.405520833
EPHA5	6	0.166666667	0.166666667	Up	0.0448	0.560884091	0.0303	0.405520833
POLR2D	4	0.5	0	Down	0.0461	0.560884091	0.102	0.405520833
TNK2	4	0	0.5	Up	0.0537	0.560884091	0.0537	0.405520833
CDK5	4	0.25	0	Down	0.0547	0.560884091	0.3025	0.420887838
BRD3	7	0.142857143	0.571428571	Up	0.0562	0.560884091	0.1448	0.405520833
CDC42BPA	9	0.111111111	0.444444444	Up	0.0566	0.560884091	0.122	0.405520833
PRKCA	4	0.5	0	Down	0.0604	0.560884091	0.259	0.405520833
MAPKAPK2	6	0.333333333	0	Down	0.0633	0.560884091	0.3692	0.439875
PRKCZ	5	0.2	0.2	Down	0.0701	0.560884091	0.2377	0.405520833
MAP3K5	5	0	0.2	Up	0.0707	0.560884091	0.3183	0.424888743
FASTKD1	4	0	0.25	Up	0.0731	0.560884091	0.0378	0.405520833
TRIO	4	0.5	0.25	Down	0.0734	0.560884091	0.0659	0.405520833
AKT3	4	0.5	0	Down	0.0745	0.560884091	0.0368	0.405520833
PHKG1	4	0	0.75	Up	0.0775	0.560884091	0.0775	0.405520833
MAP4K4	4	0	0.75	Up	0.0781	0.560884091	0.0109	0.276675
MAPK1	5	0	0	Down	0.0833	0.560884091	0.466	0.503625
MAPK13	6	0.5	0.333333333	Down	0.0945	0.560884091	0.3715	0.440556977
OBSCN	5	0.4	0.2	Down	0.0962	0.560884091	0.1656	0.405520833
ETNK2	4	0.25	0	Down	0.0962	0.560884091	0.4353	0.487575658
PDXK	4	0.25	0.25	Up	0.0975	0.560884091	0.2425	0.405520833
STK17B	4	0.5	0.25	Down	0.0976	0.560884091	0.2763	0.405520833
GRK7	5	0.6	0.2	Down	0.1029	0.560884091	0.2098	0.405520833
PIK3C2B	4	0.25	0	Down	0.1036	0.560884091	0.2797	0.405520833
ATR	10	0.5	0.3	Down	0.1049	0.560884091	0.1102	0.405520833
PIK3C2G	7	0.285714286	0.142857143	Down	0.1053	0.560884091	0.0484	0.405520833
SNRK	4	0.25	0	Down	0.1088	0.560884091	0.1724	0.405520833
HIPK2	4	0.75	0.25	Down	0.1122	0.560884091	0.1035	0.405520833
RPS6KB2	6	0	0.166666667	Up	0.1156	0.560884091	0.1664	0.405520833
TRIM33	6	0.166666667	0.166666667	Up	0.117	0.560884091	0.1758	0.405520833
NPR2	4	0	0.5	Up	0.1178	0.560884091	0.1178	0.405520833
CCND1	6	0.5	0.333333333	Down	0.1204	0.560884091	0.2211	0.405520833
SCYL3	5	0	0.2	Up	0.1204	0.560884091	0.2251	0.405520833
CDK4	6	0	0.333333333	Up	0.1211	0.560884091	0.2683	0.405520833
TIE1	5	0	0.4	Up	0.1227	0.560884091	6.00E-04	0.070125
NEK6	4	0.25	0	Down	0.1249	0.560884091	0.7592	0.7681875
ZMYND8	6	0.5	0.166666667	Down	0.127	0.560884091	0.1713	0.405520833
NEK2	4	0.5	0	Down	0.1304	0.560884091	0.1304	0.405520833
MAPK7	4	0.5	0	Down	0.1321	0.560884091	0.2491	0.405520833
GRK6	6	0.166666667	0.166666667	Down	0.1322	0.560884091	0.2795	0.405520833
RPS6KA5	5	0.2	0	Down	0.1342	0.560884091	0.3152	0.422964474
CDC42BPB	6	0.166666667	0.5	Up	0.1356	0.560884091	0.239	0.405520833
TTK	7	0.428571429	0.142857143	Down	0.14	0.560884091	0.1896	0.405520833
TAOK3	5	0.6	0	Down	0.1416	0.560884091	0.1416	0.405520833
TRPM7	7	0.285714286	0	Down	0.1434	0.560884091	0.0879	0.405520833
GTF2H4	4	0.5	0	Down	0.144	0.560884091	0.144	0.405520833
TTN	8	0	0.25	Up	0.1456	0.560884091	0.1854	0.405520833
MAPK10	6	0.333333333	0	Down	0.1462	0.560884091	0.2224	0.405520833
PLK4	5	0.4	0.2	Down	0.1523	0.560884091	0.2541	0.405520833
ABL2	4	0	0.5	Up	0.1544	0.560884091	0.246	0.405520833
TRIM24	6	0.5	0.333333333	Down	0.1557	0.560884091	0.0608	0.405520833
PKM2	4	0	0.25	Up	0.1564	0.560884091	0.15	0.405520833
STYK1	5	0.4	0.2	Down	0.1572	0.560884091	0.1766	0.405520833
INSRR	6	0.166666667	0.166666667	Down	0.1596	0.560884091	0.1291	0.405520833
MARK3	5	0.2	0	Down	0.1637	0.560884091	0.1576	0.405520833
ACVR1C	6	0.166666667	0.333333333	Up	0.1664	0.560884091	0.3226	0.428386719
CCL2	7	0.285714286	0.285714286	Down	0.1675	0.560884091	0.2048	0.405520833
EPHA4	6	0.666666667	0	Down	0.1726	0.560884091	0.2788	0.405520833
SIK2	5	0.4	0.2	Up	0.1747	0.560884091	0.0313	0.405520833
DAPK3	7	0	0	Down	0.1791	0.560884091	0.3445	0.430203659
KALRN	4	0.25	0	Down	0.1799	0.560884091	0.0562	0.405520833
MAP4K1	4	0.5	0	Down	0.1805	0.560884091	0.0662	0.405520833
WEE1	4	0.5	0	Down	0.1825	0.560884091	0.2636	0.405520833
CAMK1G	7	0	0.142857143	Up	0.1836	0.560884091	0.0254	0.405520833
NTRK1	5	0.2	0.4	Up	0.1845	0.560884091	0.1311	0.405520833
CHEK1	8	0.125	0.25	Up	0.1847	0.560884091	0.0027	0.13515
RPS6KA4	5	0.6	0.2	Down	0.1869	0.560884091	0.1961	0.405520833
GTF2H1	7	0.428571429	0.142857143	Down	0.1883	0.560884091	0.1096	0.405520833
PRKDC	4	0.5	0.25	Down	0.1885	0.560884091	0.1857	0.405520833
ILK	4	0	0.75	Up	0.1938	0.560884091	0.1938	0.405520833
FYN	5	0	0.4	Up	0.1963	0.560884091	0.3632	0.438827465
PRKAA1	4	0	0	Up	0.2005	0.560884091	0.661	0.676876506
IGF1R	9	0.444444444	0.111111111	Down	0.2007	0.560884091	0.2751	0.405520833
KCNH4	6	0.333333333	0	Down	0.2023	0.560884091	0.2769	0.405520833
RIOK3	4	0.75	0	Down	0.2032	0.560884091	0.1809	0.405520833
GRK5	5	0	0.4	Up	0.2048	0.560884091	0.0371	0.405520833
MYLK	4	0.5	0.25	Down	0.2059	0.560884091	0.1061	0.405520833
TGFB2	4	0	0	Up	0.2074	0.560884091	0.2074	0.405520833
PGK1	4	0	0.75	Up	0.2129	0.560884091	0.2129	0.405520833
BMPR1B	8	0.375	0	Down	0.2134	0.560884091	0.2697	0.405520833
ABL1	5	0.2	0	Down	0.2153	0.560884091	0.4856	0.511633264
CIT	8	0.5	0	Down	0.2159	0.560884091	0.1491	0.405520833
DGKG	7	0.428571429	0.142857143	Down	0.2159	0.560884091	0.1615	0.405520833
ZAP70	5	0	0.4	Up	0.2198	0.560884091	0.2363	0.405520833
ROCK1	4	0.25	0	Down	0.2206	0.560884091	0.0807	0.405520833
PLK2	5	0.4	0.2	Down	0.2218	0.560884091	0.1149	0.405520833
DLG2	4	0.25	0.25	Up	0.2228	0.560884091	0.3113	0.422964474
SGK494	4	0.25	0.75	Up	0.2238	0.560884091	0.1967	0.405520833
IKBKB	7	0.142857143	0.285714286	Up	0.2253	0.560884091	0.1626	0.405520833
TBK1	5	0.4	0.2	Down	0.2305	0.560884091	0.3406	0.430203659
AATK	5	0.2	0.4	Up	0.2316	0.560884091	0.0956	0.405520833
ARAF	5	0.4	0.2	Down	0.2367	0.560884091	0.2831	0.405520833
CAMK2B	4	0.5	0	Down	0.2372	0.560884091	0.2372	0.405520833
WEE2	6	0.333333333	0	Down	0.2392	0.560884091	0.3314	0.42984799
ERBB4	6	0.333333333	0.166666667	Down	0.24	0.560884091	0.0854	0.405520833
PRKCD	9	0.444444444	0.111111111	Down	0.2411	0.560884091	0.1227	0.405520833
ERBB2	6	0.5	0	Down	0.242	0.560884091	0.2388	0.405520833
PSKH2	8	0.125	0.25	Up	0.2486	0.564541667	0.0986	0.405520833
BTK	5	0.6	0	Down	0.2527	0.564541667	0.3649	0.438827465
BRD2	5	0.6	0	Down	0.2554	0.564541667	0.1832	0.405520833
TYRO3	7	0.285714286	0.428571429	Up	0.2601	0.564541667	0.2424	0.405520833
GUCY2F	5	0.6	0	Down	0.2608	0.564541667	0.2069	0.405520833
FKBP1A	6	0.333333333	0	Down	0.2613	0.564541667	0.4385	0.488230349
LYN	5	0.6	0.4	Down	0.2646	0.564541667	0.3436	0.430203659
RET	4	0	0.75	Up	0.2653	0.564541667	0.4093	0.465887277
PRKCI	4	0.75	0	Down	0.2672	0.564541667	0.2086	0.405520833
GUK1	4	0.5	0	Down	0.2705	0.564541667	0.2705	0.405520833
ROCK2	5	0.2	0.4	Up	0.2707	0.564541667	0.0163	0.34425
CDK13	8	0.125	0.375	Up	0.2723	0.564541667	0.2649	0.405520833
GAK	4	0.5	0	Down	0.2742	0.564541667	0.1791	0.405520833
NLK	11	0.272727273	0.181818182	Down	0.2752	0.564541667	0.3939	0.4570875
LCK	5	0.6	0.4	Down	0.277	0.564541667	0.1359	0.405520833
FLT3	4	0	0.75	Up	0.279	0.564541667	0.279	0.405520833
MAPK9	5	0.4	0.2	Down	0.2869	0.575958661	0.1755	0.405520833
SRPK1	5	0.4	0	Down	0.2994	0.594967557	0.366	0.438827465
PSKH1	4	0	0.5	Up	0.3047	0.594967557	0.1625	0.405520833
CRIM1	4	0.5	0	Down	0.3048	0.594967557	0.2506	0.405520833
KSR1	6	0	0.5	Up	0.3057	0.594967557	0.3244	0.428545337
CLK1	5	0	0.4	Up	0.3149	0.596498201	0.4763	0.503915975
EIF2AK3	8	0.125	0.375	Up	0.3171	0.596498201	0.2285	0.405520833
CCL5	5	0.6	0.2	Down	0.3184	0.596498201	0.253	0.405520833
DAPK1	5	0	0.4	Up	0.321	0.596498201	0.18	0.405520833
FGFR3	7	0	0.285714286	Up	0.3215	0.596498201	0.0366	0.405520833
DGKB	4	0.25	0	Down	0.324	0.596498201	0.2854	0.405520833
EPHA2	4	0.5	0	Down	0.3243	0.596498201	0.4413	0.489211957
GUCY2D	6	0.333333333	0.166666667	Up	0.3252	0.596498201	0.0504	0.405520833
PRKD3	9	0.222222222	0.111111111	Down	0.3287	0.597441489	0.1999	0.405520833
PAK7	4	0.5	0.5	Down	0.3304	0.597441489	0.2127	0.405520833
RPS6KB1	4	0	0.5	Up	0.3386	0.607959507	0.0053	0.223125
ATM	5	0.6	0	Down	0.342	0.609770979	0.342	0.430203659
WNK1	5	0.4	0	Down	0.3632	0.632259202	0.2463	0.405520833
CSNK1A1	4	0	0	Down	0.3638	0.632259202	0.2749	0.405520833
GCK	4	0.5	0.25	Down	0.3685	0.632259202	0.3612	0.438827465
CDK9	5	0.2	0.8	Up	0.3708	0.632259202	0.3044	0.420887838
PRKCQ	5	0	0.6	Up	0.3733	0.632259202	0.2318	0.405520833
WNK4	4	0	0	Down	0.374	0.632259202	0.6873	0.698202191
MAP4K5	6	0.166666667	0.333333333	Up	0.3767	0.632259202	0.2409	0.405520833
DCLK1	6	0.166666667	0.166666667	Up	0.3785	0.632259202	0.3103	0.422964474
RRM1	4	0.75	0	Down	0.3826	0.632259202	0.3334	0.42984799
CSNK1G2	5	0.2	0	Down	0.3841	0.632259202	0.3483	0.431086165
EPHA1	5	0	0.4	Up	0.3842	0.632259202	0.4597	0.500900641
TNNI3K	4	0.5	0	Down	0.3875	0.632259202	0.1409	0.405520833
KCNH8	6	0.5	0.333333333	Down	0.3882	0.632259202	0.252	0.405520833
FES	5	0.2	0.6	Up	0.3901	0.632259202	0.0019	0.1179375
JAK3	4	0.25	0	Down	0.3944	0.632259202	0.3944	0.4570875
SQSTM1	4	0.5	0.25	Down	0.3979	0.632259202	0.2103	0.405520833
CDK2	6	0.5	0.166666667	Down	0.3993	0.632259202	0.2023	0.405520833
PIK3C2A	6	0	0.166666667	Up	0.4006	0.632259202	0.1362	0.405520833
SGK3	5	0	0.2	Up	0.4034	0.632259202	0.0176	0.34425
ALK	5	0.2	0.4	Up	0.4042	0.632259202	0.2331	0.405520833
MAP3K9	8	0.375	0	Down	0.4186	0.647159091	0.421	0.474965708
DGKA	6	0.166666667	0.333333333	Up	0.4188	0.647159091	0.0498	0.405520833
AKT1	5	0	0	Up	0.4214	0.647198138	0.6652	0.678453
SRPK2	4	0	0.25	Up	0.428	0.647198138	0.3143	0.422964474
PRPF4B	5	0	0.2	Up	0.4292	0.647198138	0.3982	0.459403846
TPK1	4	0.25	0.25	Up	0.4315	0.647198138	0.1499	0.405520833
BMPR2	4	0	0.75	Up	0.436	0.647198138	0.436	0.487575658
PFKFB2	4	0.5	0	Down	0.4407	0.647198138	0.1628	0.405520833
MTOR	6	0.5	0.166666667	Down	0.4433	0.647198138	0.2285	0.405520833
HIPK3	7	0.142857143	0	Down	0.4451	0.647198138	0.4743	0.503890625
CKMT1A	5	0.4	0.2	Down	0.4485	0.647198138	0.088	0.405520833
MAP2K4	6	0.166666667	0	Down	0.4507	0.647198138	0.4081	0.465887277
NRP1	5	0.4	0	Down	0.451	0.647198138	0.451	0.497801948
IPPK	4	0.5	0	Down	0.4569	0.647198138	0.4119	0.466763333
BMX	6	0.333333333	0.166666667	Down	0.4577	0.647198138	0.1745	0.405520833
MAP2K1	6	0.166666667	0.5	Up	0.46	0.647198138	0.2585	0.405520833
