Gene	Copy_Number
LMTK3	3
NEK8	3
EPHB3	5
MAPK7	5
CKMT1A	5
CDK5	3
POLR2D	3
MAPKAPK2	3
NME4	4
AURKB	5
EPHB1	5
GRK7	5
PACSIN1	4
IP6K3	4
MATK	3
NME9	5
STK31	4
ALPK3	3
PCK1	4
JAK3	3
DCLK2	2
AK5	4
LRGUK	3
PRKAG3	3
CAMK2A	4
FES	3
CAMK2B	4
MYLK4	4
MERTK	3
MYLK2	4
WNK4	3
DDR2	3
NTRK1	3
TSSK4	3
EPHA3	3
EPHB6	3
PRKCG	3
NEK5	3
MAP4K1	3
AATK	2
CNKSR1	3
MAPK15	3
ENG	3
ACVRL1	3
PKLR	3
LRRK1	3
EPHA10	3
EPHA4	3
SRMS	4
BRSK1	3
PIP5KL1	3
IRAK3	3
INSR	3
NTRK2	3
TSSK2	4
PRKG2	2
MAK	4
DCLK1	3
KCNH4	3
PFKFB4	3
CCL3	3
FGFR2	3
EFNB3	5
NIM1	4
TNIK	5
OBSCN	3
BEGAIN	3
WNK2	3
CDK15	3
CCL2	3
CSF1R	4
BMPR1B	2
FLT4	4
CDKL3	4
DYRK1B	3
SPEF2	4
DAPK2	5
AK8	3
NEK11	4
MAST1	3
EPS8L1	3
TPK1	3
GRK4	3
BRSK2	3
ULK4	3
PIK3IP1	3
PRKCQ	2
ACVR1C	3
PANK1	3
SGK494	3
CAMK1D	2
ACVR2B	3
PKN3	3
TEC	3
PKDCC	3
DGKH	3
RPS6KL1	3
ADRBK2	3
PGM2L1	3
HKDC1	3
MAP2K6	3
PRKD1	3
ROR1	4
ACVR2A	3
ICK	2
PSTK	3
PIK3R3	3
MAGI1	3
TGFBR3	4
FYN	2
N4BP2	3
JAK2	3
SBK1	3
PIK3C2B	3
FRK	2
TSSK6	3
AK7	3
KCNH3	2
DGKE	3
ITPKA	3
PRKAA2	3
TSSK3	3
AURKC	3
CDK19	2
ERN1	3
STK36	3
MAPK10	2
GKAP1	3
MYLK	3
MAP3K1	2
XYLB	3
ADCK1	3
SNRK	3
KSR1	3
RPS6KA5	3
LTBP1	3
AAK1	4
PRKCE	3
MAST3	3
ALPK1	2
MAST4	4
SGMS2	2
MAP3K8	2
CDK20	3
THNSL1	2
IPMK	3
PEAK1	3
MPP3	3
