Gene	RoastScore	PooledTopTagScore	ExpressionScore	CNVScore	ImpactScore
ULK2	10.000000	1.175345	2.831726	10.000000	24.007071
EPHB3	9.932432	1.127175	2.637829	10.000000	23.697436
NTRK2	9.864865	1.151861	0.275745	3.333333	14.625804
AURKB	9.797297	1.134489	8.263182	10.000000	29.194969
ACVRL1	9.729730	1.155077	0.186204	3.333333	14.404344
POLR2D	9.594595	1.236847	5.237134	3.333333	19.401910
CDK5	9.527027	1.085581	4.488465	3.333333	18.434407
PRKCA	9.459459	1.317279	3.043740	3.333333	17.153812
MAPKAPK2	9.391892	1.080943	5.712441	3.333333	19.518609
PRKCZ	9.324324	1.013991	4.788000	3.333333	18.459649
TRIO	9.256757	0.985949	4.414815	6.666667	21.324188
AKT3	9.189189	1.995297	3.847456	3.333333	18.365276
MAPK1	9.121622	0.968322	5.433815	3.333333	18.857092
MAPK13	9.054054	0.998539	2.622479	6.666667	19.341740
OBSCN	8.986486	1.089629	0.436455	3.333333	13.845904
ETNK2	8.918919	1.319791	3.140134	3.333333	16.712177
STK17B	8.851351	1.114998	3.290771	6.666667	19.923787
GRK7	8.783784	1.230746	0.000000	10.000000	20.014530
PIK3C2B	8.716216	1.058772	1.236149	3.333333	14.344470
ATR	8.648649	1.221107	2.853519	10.000000	22.723275
SNRK	8.513514	1.178848	1.500571	3.333333	14.526266
HIPK2	8.445946	1.331355	2.055371	3.333333	15.166005
CCND1	8.378378	1.058119	6.069294	3.333333	18.839124
NEK6	8.310811	1.091147	5.170798	3.333333	17.906089
ZMYND8	8.243243	1.136412	5.074120	10.000000	24.453776
NEK2	8.175676	1.180626	6.534530	3.333333	19.224165
MAPK7	8.108108	1.136797	2.890750	10.000000	22.135656
GRK6	8.040541	1.012916	6.380380	6.666667	22.100502
RPS6KA5	7.972973	1.113821	1.513273	3.333333	13.933401
TTK	7.905405	1.153956	4.675479	0.000000	13.734841
TAOK3	7.837838	1.364638	3.731573	3.333333	16.267382
TRPM7	7.770270	1.060915	3.154049	10.000000	21.985234
GTF2H4	7.702703	1.382359	4.591864	6.666667	20.343592
MAPK10	7.635135	1.098816	1.478975	0.000000	10.212926
PLK4	7.567568	1.017676	3.492985	0.000000	12.078229
TRIM24	7.500000	1.053887	2.993922	3.333333	14.881142
STYK1	7.432432	0.984025	1.784436	10.000000	20.200893
MARK3	7.297297	1.184885	5.907132	3.333333	17.722648
CCL2	7.229730	1.061558	0.558681	3.333333	12.183303
EPHA4	7.162162	1.467685	0.217074	3.333333	12.180254
DAPK3	7.094595	1.009852	5.728703	3.333333	17.166483
MAP4K1	6.959459	1.280216	0.124342	3.333333	11.697350
WEE1	6.891892	1.392097	4.561665	3.333333	16.178988
RPS6KA4	6.824324	1.236315	5.267548	3.333333	16.661521
GTF2H1	6.756757	1.247100	4.530962	3.333333	15.868151
PRKDC	6.689189	1.471517	4.782691	3.333333	16.276731
IGF1R	6.621622	1.003133	3.377622	3.333333	14.335710
KCNH4	6.554054	1.165710	0.303401	3.333333	11.356498
RIOK3	6.486486	1.385785	5.680259	3.333333	16.885864
MYLK	6.418919	1.126929	1.494079	3.333333	12.373261
BMPR1B	6.351351	1.136675	0.585615	0.000000	8.073642
ABL1	6.283784	1.117559	4.342152	3.333333	15.076828
CIT	6.216216	1.248191	3.226238	3.333333	14.023978
DGKG	6.148649	1.013307	1.968170	10.000000	19.130126
ROCK1	6.081081	1.220553	3.827426	3.333333	14.462393
PLK2	6.013514	1.168308	6.967641	0.000000	14.149463
TBK1	5.945946	1.183420	3.990999	3.333333	14.453698
CAMK2B	5.810811	1.508162	0.076634	6.666667	14.062273
PRKCD	5.608108	1.348154	4.736405	3.333333	15.026000
ERBB2	5.540541	1.355869	4.134818	3.333333	14.364560
BRD2	5.405405	1.411649	6.755561	6.666667	20.239282
FKBP1A	5.270270	1.297022	10.000000	10.000000	26.567292
LYN	5.202703	0.972105	4.298391	3.333333	13.806532
PRKCI	5.135135	1.473074	5.535398	10.000000	22.143607
