Gene	RoastRankScore	PooledTopTagRankScore	ExpressionRankScore	CNVRankScore	RankImpactScore
ULK2	149.000000	100.000000	45.000000	119.500000	413.500000
EPHB3	148.000000	81.000000	44.000000	119.500000	392.500000
NTRK2	147.000000	91.000000	13.000000	47.000000	298.000000
AURKB	146.000000	84.000000	125.000000	119.500000	474.500000
ACVRL1	145.000000	95.000000	9.000000	47.000000	296.000000
POLR2D	143.000000	119.000000	99.000000	47.000000	408.000000
CDK5	142.000000	66.000000	81.000000	47.000000	336.000000
PRKCA	141.000000	128.000000	53.000000	47.000000	369.000000
MAPKAPK2	140.000000	62.000000	105.000000	47.000000	354.000000
PRKCZ	139.000000	36.000000	91.000000	47.000000	313.000000
TRIO	138.000000	21.000000	79.000000	98.500000	336.500000
AKT3	137.000000	149.000000	69.000000	47.000000	402.000000
MAPK1	136.000000	17.000000	101.000000	47.000000	301.000000
MAPK13	135.000000	28.000000	43.000000	98.500000	304.500000
OBSCN	134.000000	68.000000	15.000000	47.000000	264.000000
ETNK2	133.000000	129.000000	55.000000	47.000000	364.000000
STK17B	132.000000	76.000000	60.000000	98.500000	366.500000
GRK7	131.000000	117.000000	1.000000	119.500000	368.500000
PIK3C2B	130.000000	48.000000	22.000000	47.000000	247.000000
ATR	129.000000	114.000000	46.000000	119.500000	408.500000
SNRK	127.000000	102.000000	26.000000	47.000000	302.000000
HIPK2	126.000000	132.000000	36.000000	47.000000	341.000000
CCND1	125.000000	47.000000	111.000000	47.000000	330.000000
NEK6	124.000000	69.000000	98.000000	47.000000	338.000000
ZMYND8	123.000000	85.000000	97.000000	119.500000	424.500000
NEK2	122.000000	104.000000	117.000000	47.000000	390.000000
MAPK7	121.000000	87.000000	49.000000	119.500000	376.500000
GRK6	120.000000	33.000000	116.000000	98.500000	367.500000
RPS6KA5	119.000000	75.000000	27.000000	47.000000	268.000000
TTK	118.000000	93.000000	86.000000	4.500000	301.500000
TAOK3	117.000000	136.000000	67.000000	47.000000	367.000000
TRPM7	116.000000	50.000000	56.000000	119.500000	341.500000
GTF2H4	115.000000	138.000000	85.000000	98.500000	436.500000
MAPK10	114.000000	72.000000	24.000000	4.500000	214.500000
PLK4	113.000000	38.000000	64.000000	4.500000	219.500000
TRIM24	112.000000	45.000000	52.000000	47.000000	256.000000
STYK1	111.000000	20.000000	31.000000	119.500000	281.500000
MARK3	109.000000	108.000000	109.000000	47.000000	373.000000
CCL2	108.000000	51.000000	16.000000	47.000000	222.000000
EPHA4	107.000000	143.000000	10.000000	47.000000	307.000000
DAPK3	106.000000	31.000000	106.000000	47.000000	290.000000
MAP4K1	104.000000	124.000000	8.000000	47.000000	283.000000
WEE1	103.000000	141.000000	84.000000	47.000000	375.000000
RPS6KA4	102.000000	118.000000	100.000000	47.000000	367.000000
GTF2H1	101.000000	120.000000	83.000000	47.000000	351.000000
PRKDC	100.000000	144.000000	90.000000	47.000000	381.000000
