"NGenes"	"PropDown"	"PropUp"	"Direction"	"PValue"	"FDR"	"PValue.Mixed"	"FDR.Mixed"
"STK24"	7	0	0.142857142857143	"Up"	0.008	0.9955	0.662	0.949900332225914
"VRK3"	4	0	0	"Up"	0.009	0.9955	0.641	0.949900332225914
"KCNH4"	6	0	0	"Down"	0.014	0.9955	0.385	0.949900332225914
"TIE1"	6	0.333333333333333	0	"Down"	0.017	0.9955	0.036	0.949900332225914
"TK1"	5	0	0	"Down"	0.025	0.9955	0.203	0.949900332225914
"PRKAB1"	5	0.4	0	"Down"	0.041	0.9955	0.013	0.949900332225914
"CIT"	6	0.166666666666667	0	"Down"	0.054	0.9955	0.381	0.949900332225914
"NTRK2"	7	0	0	"Down"	0.065	0.9955	0.609	0.949900332225914
"PFKFB1"	5	0	0	"Up"	0.067	0.9955	0.341	0.949900332225914
"TRPM6"	7	0	0	"Down"	0.071	0.9955	0.155	0.949900332225914
"MARK2"	5	0.4	0	"Down"	0.081	0.9955	0.034	0.949900332225914
"CHKB"	4	0.25	0	"Down"	0.091	0.9955	0.286	0.949900332225914
"GALK1"	4	0	0	"Up"	0.099	0.9955	0.727	0.949900332225914
"POLR2A"	4	0	0	"Up"	0.1	0.9955	0.374	0.949900332225914
"AK8"	4	0	0	"Up"	0.109	0.9955	0.632	0.949900332225914
"BRD3"	7	0	0	"Up"	0.11	0.9955	0.583	0.949900332225914
"AKT2"	4	0	0	"Down"	0.111	0.9955	0.81	0.949900332225914
"MAP3K9"	7	0.142857142857143	0	"Down"	0.117	0.9955	0.275	0.949900332225914
"ARCN1"	4	0.25	0	"Down"	0.121	0.9955	0.295	0.949900332225914
"PIK3C2G"	5	0	0.2	"Up"	0.121	0.9955	0.297	0.949900332225914
"PTK7"	4	0	0	"Down"	0.123	0.9955	0.142	0.949900332225914
"PFKFB4"	4	0	0	"Up"	0.135	0.9955	0.504	0.949900332225914
"MAP2K4"	4	0	0.25	"Up"	0.14	0.9955	0.222	0.949900332225914
"RFK"	4	0	0	"Down"	0.143	0.9955	0.351	0.949900332225914
"BTK"	6	0	0	"Down"	0.144	0.9955	0.202	0.949900332225914
"FGR"	5	0	0	"Up"	0.146	0.9955	0.5	0.949900332225914
"TRPM7"	7	0	0	"Up"	0.147	0.9955	0.378	0.949900332225914
"NEK1"	10	0.2	0	"Down"	0.162	0.9955	0.45	0.949900332225914
"TBK1"	4	0.25	0	"Down"	0.172	0.9955	0.558	0.949900332225914
"ERCC6"	5	0	0	"Down"	0.172	0.9955	0.641	0.949900332225914
"PIK3R1"	5	0	0	"Down"	0.174	0.9955	0.45	0.949900332225914
"STYK1"	8	0	0	"Up"	0.178	0.9955	0.653	0.949900332225914
"CDK17"	4	0.25	0	"Down"	0.18	0.9955	0.385	0.949900332225914
"SRPK2"	4	0	0	"Down"	0.181	0.9955	0.761	0.949900332225914
"EIF2AK1"	4	0	0	"Down"	0.182	0.9955	0.426	0.949900332225914
"TRIM33"	7	0	0	"Up"	0.196	0.9955	0.193	0.949900332225914
"CDC42BPA"	6	0	0.166666666666667	"Up"	0.197	0.9955	0.554	0.949900332225914
"RPS6KA2"	4	0	0.25	"Up"	0.198	0.9955	0.74	0.949900332225914
"DYRK3"	4	0.25	0	"Down"	0.199	0.9955	0.43	0.949900332225914
"STK16"	4	0	0	"Down"	0.203	0.9955	0.389	0.949900332225914
"RPS6KB2"	4	0	0	"Down"	0.203	0.9955	0.425	0.949900332225914
"LTBP1"	4	0	0	"Down"	0.204	0.9955	0.808	0.949900332225914
"PNKP"	4	0	0	"Down"	0.212	0.9955	0.254	0.949900332225914
"DMPK"	6	0	0	"Down"	0.218	0.9955	0.876	0.949900332225914
"AXL"	5	0	0.2	"Up"	0.219	0.9955	0.783	0.949900332225914
"TRIM24"	6	0	0.166666666666667	"Up"	0.22	0.9955	0.649	0.949900332225914
"PDXK"	5	0.2	0	"Down"	0.223	0.9955	0.25	0.949900332225914
"TYK2"	4	0	0	"Up"	0.224	0.9955	0.378	0.949900332225914
"EPHA5"	4	0.5	0	"Down"	0.228	0.9955	0.274	0.949900332225914
"AURKC"	4	0	0	"Down"	0.246	0.9955	0.356	0.949900332225914
"BRSK1"	4	0	0	"Up"	0.246	0.9955	0.546	0.949900332225914
"MAP3K13"	5	0.2	0	"Down"	0.248	0.9955	0.46	0.949900332225914
"RRM1"	4	0	0	"Down"	0.248	0.9955	0.517	0.949900332225914
"GRK1"	4	0	0	"Down"	0.25	0.9955	0.783	0.949900332225914
"STK4"	7	0.285714285714286	0	"Down"	0.256	0.9955	0.141	0.949900332225914
