Gene	RoastScore	PooledTopTagScore	ExpressionScore	CNVScore	ImpactScore
KCNH4	10.000000	5.687924	0.310561	3.333333	19.331818
TK1	9.890110	6.769835	8.854788	6.666667	32.181400
PRKAB1	9.835165	6.346683	2.979986	3.333333	22.495168
CIT	9.780220	6.171297	3.231239	3.333333	22.516089
NTRK2	9.725275	6.274895	0.282925	3.333333	19.616428
MARK2	9.615385	6.714710	4.082387	3.333333	23.745816
CHKB	9.560440	6.896870	4.238588	6.666667	27.362565
AKT2	9.505495	5.377523	4.807715	3.333333	23.024066
MAP3K9	9.450549	6.250709	2.876957	3.333333	21.911549
PTK7	9.340659	6.572463	6.554172	0.000000	22.467294
RFK	9.285714	5.707605	4.177484	3.333333	22.504137
NEK1	9.175824	5.611938	2.314043	0.000000	17.101805
TBK1	9.120879	7.046350	3.995436	3.333333	23.495998
PIK3R1	9.010989	5.218557	1.902401	6.666667	22.798613
CDK17	8.956044	6.169291	3.060692	3.333333	21.519360
SRPK2	8.901099	6.239002	4.781141	6.666667	26.587909
EIF2AK1	8.846154	6.642782	6.633253	6.666667	28.788855
DYRK3	8.791209	5.591378	2.937139	3.333333	20.653059
STK16	8.736264	6.537282	3.925566	3.333333	22.532445
RPS6KB2	8.681319	6.098821	5.090896	3.333333	23.204368
LTBP1	8.626374	5.489533	1.523289	3.333333	18.972530
PNKP	8.571429	7.055440	4.162322	3.333333	23.122524
DMPK	8.516484	6.128268	3.580206	3.333333	21.558291
PDXK	8.461538	6.798838	5.348268	3.333333	23.941978
AURKC	8.351648	6.844688	1.376246	3.333333	19.905916
MAP3K13	8.296703	6.083618	5.111487	10.000000	29.491808
STK4	8.131868	6.544170	4.529574	10.000000	29.205612
PIK3C3	8.076923	6.356851	3.268699	0.000000	17.702473
PIK3C2A	8.021978	5.826743	3.140348	3.333333	20.322402
KSR1	7.967033	5.534021	1.509382	3.333333	18.343770
ACVR1	7.912088	6.669689	3.145599	3.333333	21.060709
SQSTM1	7.857143	5.605649	8.012349	6.666667	28.141808
BRAF	7.802198	5.958959	2.077878	3.333333	19.172368
MARK3	7.747253	6.131981	5.910154	3.333333	23.122721
IPPK	7.692308	5.249386	3.268941	3.333333	19.543968
NTRK1	7.637363	5.400632	0.118182	3.333333	16.489510
NEK4	7.582418	6.319850	3.368143	3.333333	20.603744
ABL1	7.527473	7.032908	4.346330	3.333333	22.240044
ATR	7.472527	5.540088	2.858796	10.000000	25.871411
CDK4	7.362637	5.263157	7.839951	3.333333	23.799079
PRKAA2	7.307692	6.218587	1.370851	3.333333	18.230463
MAP2K1	7.252747	6.202530	6.704399	3.333333	23.493010
PINK1	7.197802	5.594778	4.819828	3.333333	20.945741
DYRK1B	7.087912	5.646718	0.671694	3.333333	16.739657
OXSR1	7.032967	5.686944	5.007323	3.333333	21.060567
MAPK8	6.978022	6.049966	4.197783	3.333333	20.559105
SCYL1	6.868132	6.009977	5.966003	3.333333	22.177446
NRP1	6.813187	5.618348	2.874460	0.000000	15.305994
EPHA3	6.758242	5.766588	0.122632	3.333333	15.980795
PIK3C2B	6.648352	5.504008	1.242620	3.333333	16.728313
TGFB2	6.593407	6.236606	2.942887	3.333333	19.106233
DGKA	6.538462	5.472174	5.078819	3.333333	20.422787
ULK2	6.483516	5.244911	2.837019	10.000000	24.565446
EIF2AK4	6.428571	5.866560	4.561028	3.333333	20.189492
CLK3	6.373626	7.024866	6.019887	3.333333	22.751713
RIOK3	6.318681	5.126332	5.683449	3.333333	20.461795
AURKA	6.263736	5.997741	7.754331	6.666667	26.682475
EPHA10	6.208791	5.215140	0.216936	3.333333	14.974201
EPHA2	6.153846	6.015823	8.098893	3.333333	23.601895
AATK	6.098901	6.116825	0.134000	0.000000	12.349726
FKBP1A	5.934066	6.690912	10.000000	10.000000	32.624978
